,eth_PriceUSD,eth_AdrActCnt,eth_BlkCnt,eth_BlkSizeByte,eth_BlkSizeMeanByte,eth_DiffMean,eth_FeeMeanNtv,eth_FeeMedNtv,eth_FeeTotNtv,eth_TxCnt,eth_TxTfr,eth_TxTfrValMeanNtv,eth_TxTfrValMedNtv,eth_TxTfrValNtv
2017-11-18,347.8071893629456,206670.0,6215.0,90912694.0,14627.9475462591,1389738236610440.0,0.000556061122071958,0.000315,255.6096205331267,459679.0,289949.0,45.1739310216292,0.310073929205974,13098136.125790352
2017-11-19,356.07079193454126,207546.0,6266.0,91173879.0,14550.5711777849,1402316828783890.0,0.00060764009952482,0.00042,282.2871075556404,464563.0,304193.0,43.0015245081525,0.33992729,13080762.744708428
2017-11-20,369.3996583869082,234513.0,6176.0,102852461.0,16653.5720531088,1489214248965440.0,0.000700772330489121,0.00042,371.5081440575646,530141.0,333792.0,52.8954680289054,0.36699668,17656084.06430438
2017-11-21,360.6321642314435,237062.0,6174.0,99909970.0,16182.3728539035,1471462729491710.0,0.000694380157527978,0.00042,363.8857552710379,524044.0,353933.0,47.6410606168855,0.496,16861743.50731614
2017-11-22,380.409815020456,242021.0,6242.0,99737495.0,15978.4516180711,1462847884820400.0,0.000668795225338653,0.00042,365.48923389961305,546489.0,361056.0,47.4554861778171,0.339475,17134088.01741793
2017-11-23,413.1269722384572,250344.0,6190.0,99217879.0,16028.7365105008,1518894148327650.0,0.000676143171729288,0.00042,363.13486095373474,537068.0,361893.0,46.9406791266307,0.496544083746162,16987503.19117378
2017-11-24,472.2375306838105,242143.0,6234.0,94157389.0,15103.8480911133,1549351256477910.0,0.000593693364967176,0.00042,312.00308039765173,525529.0,364974.0,39.5498938416218,0.3529305,14434682.954952072
2017-11-25,465.9291583869083,236910.0,6201.0,100403905.0,16191.5666827931,1562073252754270.0,0.000515809853487904,0.000312852,289.4549522424732,561166.0,342929.0,49.049341618043,0.34628778,16820441.671733875
2017-11-26,470.8161852717708,252960.0,6169.0,99314431.0,16098.951369752,1553379593941140.0,0.000654597311302855,0.00042,355.10856782428317,542484.0,341956.0,46.8431402799572,0.25,16018292.877573058
2017-11-27,476.3768579777909,277958.0,6086.0,135031106.0,22187.1682550115,1537205170278240.0,0.000606456688182505,0.00042,369.14715381236476,608695.0,417257.0,48.89128254624,0.42015,20400229.881396446
2017-11-28,464.9997860900059,309063.0,6094.0,115664543.0,18980.0694125369,1508042853624900.0,0.000662302078977596,0.00042,423.2037431424956,638989.0,446875.0,55.3660746119792,0.49,24741714.592228204
2017-11-29,421.42981034482756,315598.0,6108.0,113238183.0,18539.3226915521,1520780408250060.0,0.000669526096314122,0.00042,444.283457464524,663579.0,496662.0,57.1478560498418,0.5,28383168.481426533
2017-11-30,437.5429745762712,299340.0,6151.0,111082522.0,18059.2622337831,1542745956194400.0,0.000645584290431295,0.00042,423.152742251987,655457.0,476919.0,55.3789847947406,0.42725932,26411290.04932289
2017-12-01,459.6250771478667,290214.0,6127.0,111410937.0,18183.6032315978,1546949558356130.0,0.000668154705342968,0.00042,416.0732981103654,622720.0,437848.0,49.8058625228424,0.26,21807397.2939015
2017-12-02,457.9390064289889,284287.0,6053.0,108672644.0,17953.5179249959,1570293136110960.0,0.000548762070629175,0.000372456,344.50459650946055,627785.0,447733.0,50.7439510646128,0.210475966717644,22719741.44201226
2017-12-03,460.329287258913,304550.0,6029.0,116513716.0,19325.5458616686,1509751249390500.0,0.000586837282083312,0.00042,407.1524010067376,693808.0,514699.0,41.7560036560551,0.2,21491773.325767916
2017-12-04,465.2875458796026,289747.0,5671.0,111950866.0,19740.9391641686,1530846399225240.0,0.00114572144557102,0.000441,804.106265031308,701834.0,546896.0,38.4442141503275,0.237100068680556,21024986.941957533
2017-12-05,454.41209935710117,303039.0,5588.0,110640271.0,19799.6190050107,1477492059096120.0,0.00170720181907957,0.00063153,1183.244508785511,693090.0,538304.0,19.298809724108,0.2163004,10388626.469726246
2017-12-06,424.884565458796,394106.0,5473.0,115886205.0,21174.1649917778,1468449809695800.0,0.00194589000190475,0.000882,1540.6506254450846,791746.0,686105.0,21.5367057226462,0.725,14776441.479836185
2017-12-07,421.8632977790765,330894.0,5798.0,103778567.0,17899.028458089,1480719151843230.0,0.00339766010223256,0.001365,2239.2890482574153,659068.0,519469.0,22.5625395192892,0.41828745,11720539.841545662
2017-12-08,453.28549532437165,361582.0,5803.0,123142428.0,21220.4769946579,1552890438945510.0,0.00302098979925794,0.001340438,2315.3198130382684,766411.0,634202.0,15.0938051827976,0.199914908966204,9572521.434540592
2017-12-09,472.772622150789,330732.0,5813.0,115627334.0,19891.1635988302,1553202155649230.0,0.00300670355440246,0.00135047,2126.4099078564377,707223.0,580715.0,11.7872551876626,0.122795202,6845035.896303491
2017-12-10,435.5534023962595,335622.0,5781.0,120616369.0,20864.2741740183,1549426798576260.0,0.00267699547791584,0.001095318,1918.2680345869571,716575.0,576432.0,11.7275739858494,0.119639525,6760148.927811144
2017-12-11,505.2220338983051,394749.0,5749.0,135411129.0,23553.8578883284,1575712167783480.0,0.0018480221159597,0.000861,1531.8236838974283,828899.0,673805.0,10.1667380342223,0.135180608227191,6850398.921149176
2017-12-12,656.7651654003506,422384.0,5715.0,146344635.0,25607.1102362205,1556260952137920.0,0.0017872173640852,0.000924,1559.061195386161,872340.0,690710.0,20.3212396927492,0.286672124860146,14036083.4681788
2017-12-13,693.085829924021,458001.0,5659.0,148353602.0,26215.5154620958,1612737499302180.0,0.00158886988252423,0.00067221,1445.28530011046,909631.0,721318.0,15.8257927057068,0.3215224735,11415429.142895013
2017-12-14,689.6317641729981,489334.0,5694.0,148324824.0,26049.3192834563,1641299123634790.0,0.00181856854877118,0.00101010147,1714.1081527651395,942559.0,769169.0,16.6841885909275,0.42485126,12832960.654295098
2017-12-15,684.63339421391,452357.0,5800.0,151843768.0,26179.96,1716279356076910.0,0.00160904895849535,0.00101010147,1455.1369894197737,904346.0,718439.0,14.711377816325,0.33978895,10569227.566982694
2017-12-16,694.2823161893631,426989.0,5775.0,152396300.0,26388.9696969697,1740332446347650.0,0.00163164952972902,0.00084,1468.2512508743866,899857.0,671011.0,12.6442066886412,0.33131389,8484401.774351832
2017-12-17,720.3002632963179,446682.0,5781.0,150105301.0,25965.2829960215,1754690326252690.0,0.00133774716771292,0.000525,1172.6343857894929,876574.0,648245.0,12.9059527403758,0.388346,8366219.334184885
2017-12-18,786.3124590882527,518226.0,5781.0,161476250.0,27932.2349074555,1783752977656600.0,0.0011807968549447,0.000441,1161.9289019988598,984021.0,763451.0,11.9152242937784,0.3492209,9096689.902309448
2017-12-19,808.6964108708358,524427.0,5604.0,176320793.0,31463.3820485368,1736464975898560.0,0.00136187137854494,0.0007098,1487.4822232712536,1092234.0,849509.0,14.2915103275103,0.60148527,12140766.64681295
2017-12-20,794.1459666861485,518097.0,5571.0,153008948.0,27465.2572249147,1716149477546860.0,0.00175588968012714,0.00084,1731.4898371318184,986104.0,829656.0,16.4359288594538,0.681237,13636166.993818969
2017-12-21,785.541339859731,558243.0,5570.0,168331460.0,30221.0879712747,1741540444407600.0,0.00164096599645804,0.00084,1760.2067905989936,1072665.0,881419.0,15.588557266868,0.68517304,13740050.557605537
2017-12-22,670.8693518410284,597846.0,5652.0,165025222.0,29197.6684359519,1725803011179440.0,0.00148628354288722,0.00084,1640.1480741051914,1103523.0,906064.0,16.533089671482,1.0,14980037.360101655
