,btc_PriceUSD,btc_AdrActCnt,btc_BlkCnt,btc_BlkSizeByte,btc_BlkSizeMeanByte,btc_DiffMean,btc_FeeMeanNtv,btc_FeeMedNtv,btc_FeeTotNtv,btc_TxCnt,btc_TxTfr,btc_TxTfrValMeanNtv,btc_TxTfrValMedNtv,btc_TxTfrValNtv
2016-03-13,411.805882466394,421585.0,133.0,83704463.0,629356.864661654,158427203767.392,0.000239823014854531,0.0001,35.47006372,147901.0,432962.0,3.49987523269587,0.01000062,1515312.98049847
2016-03-14,415.026957276446,451902.0,152.0,109434881.0,719966.322368421,158427203767.392,0.00021523850852423,0.0001,40.70332387,189108.0,458294.0,4.42846904799308,0.029786635,2029540.79388094
2016-03-15,415.266400292227,451559.0,161.0,107050491.0,664909.881987578,158427203767.392,0.000212513431703782,0.0001,43.40119313,204228.0,467789.0,7.07410596512526,0.033687485,3309188.95531998
2016-03-16,417.024118468732,449250.0,152.0,102434924.0,673913.973684211,158427203767.392,0.000226479721060433,0.00010016,47.97701115,211838.0,463715.0,27.8764851798035,0.06679093,12926744.3251526
2016-03-17,418.605363822326,482125.0,141.0,105826082.0,750539.588652482,158427203767.392,0.000222787969167086,0.0001,46.07076972,206792.0,505514.0,14.7581674853175,0.03,7460460.2781728
2016-03-18,408.901587405026,425769.0,136.0,98685876.0,725631.441176471,162637793027.815,0.000208337666231052,0.0001,42.56526025,204309.0,451671.0,10.7925258920584,0.04453446,4874670.96219191
2016-03-19,409.124429865576,428645.0,136.0,88712893.0,652300.683823529,165496835118.226,0.000192110068590219,0.0001,34.70237857,180638.0,468093.0,4.27174586640627,0.0173668,1999574.33784371
2016-03-20,412.056953828171,430803.0,146.0,96181501.0,658777.404109589,165496835118.226,0.000190207428054879,0.0001,33.24559552,174786.0,486489.0,3.28122144975037,0.01264911,1596278.14186761
2016-03-21,411.601774050263,435918.0,139.0,103967997.0,747971.201438849,165496835118.226,0.000207121213348485,0.0001,41.37308373,199753.0,473012.0,3.65586107598883,0.02656919,1729266.15927563
2016-03-22,416.581653828171,462080.0,148.0,105152288.0,710488.432432432,165496835118.226,0.00020765165722526,0.0001,42.19128667,203183.0,507741.0,3.74292488098842,0.0237023,1900436.42199794
2016-03-23,417.378299532437,438399.0,149.0,101906757.0,683937.966442953,165496835118.226,0.000205678739456864,0.0001,39.0653857,189934.0,451253.0,3.85105204186849,0.02642123,1737798.78704928
2016-03-24,413.560239918177,430544.0,147.0,98782351.0,671988.782312925,165496835118.226,0.000202232570706323,0.0001,38.24056126,189092.0,436296.0,4.57269860452367,0.0346,1995050.11035926
2016-03-25,416.373243834015,392195.0,146.0,90240495.0,618085.582191781,165496835118.226,0.000189778221129616,0.0001,32.38413521,170642.0,401947.0,4.39831500478931,0.02559199,1767889.52123005
2016-03-26,416.823096668615,471861.0,153.0,97623342.0,638061.058823529,165496835118.226,0.000231713370782288,0.0001,36.93905043,159417.0,413191.0,3.16944871594345,0.01452844,1309587.68438939
2016-03-27,425.454959848042,410531.0,141.0,86625819.0,614367.510638298,165496835118.226,0.000192337701055284,0.0001,30.5288016,158725.0,415988.0,3.72047435320341,0.01269531,1547672.68524038
2016-03-28,422.917446814728,520539.0,170.0,115942657.0,682015.629411765,165496835118.227,0.000235668285651221,0.0001,46.97835173,199341.0,465996.0,3.74330528507974,0.02585328,1744365.28962602
