,doge_PriceUSD,doge_AdrActCnt,doge_BlkCnt,doge_BlkSizeByte,doge_BlkSizeMeanByte,doge_DiffMean,doge_FeeMeanNtv,doge_FeeMedNtv,doge_FeeTotNtv,doge_TxCnt,doge_TxTfr,doge_TxTfrValMeanNtv,doge_TxTfrValMedNtv,doge_TxTfrValNtv
2015-01-14,0.0001139960143669429,44446.0,1371.0,14824508.0,10812.9161196207,14993.4823103087,1.53828616577244,1.0,26147.7882458,16998.0,64689.0,476438.78806247,49.0,30820348760.97315
2015-01-15,0.00014308696474188456,57585.0,1382.0,24951668.0,18054.7525325615,14876.3913607178,2.0744511599284,1.0,39980.8972053,19273.0,71328.0,1032242.7712022,101.95,73627812384.31023
2015-01-16,0.00014055497236644098,71368.0,1383.0,17746460.0,12831.8582791034,14618.1301219179,1.41887987029124,1.0,37610.24872181,26507.0,101198.0,1068884.85387102,42.145,108169009442.03906
2015-01-17,0.00013598316046139702,94734.0,1374.0,18761035.0,13654.3195050946,15634.4715508604,1.2492390088249,1.0,45553.5004568,36465.0,121240.0,397214.326144992,128.19,48158264901.818855
2015-01-18,0.00013758585682082207,74348.0,1371.0,16764576.0,12227.9912472648,15258.6497927695,1.33733079182131,1.0,36537.21456335,27321.0,96851.0,710275.616308968,100.0,68790903715.1399
2015-01-19,0.0001412104890526108,93239.0,1371.0,20505445.0,14956.5609044493,13732.855774804,1.29972709730747,1.0,51829.21745933,39877.0,116131.0,553724.36792681,127.13833333,64304564571.7084
2015-01-20,0.00014286192372825064,64203.0,1371.0,16432318.0,11985.644055434,15540.3275599055,1.42326367863132,1.0,36395.69878996,25572.0,94378.0,733356.670941065,80.23766443,69212735890.07582
2015-01-21,0.00015681439370668777,87647.0,1358.0,19718910.0,14520.5522827688,14373.5382039156,1.27626384816037,1.0,49069.79243407,38448.0,113747.0,1155553.57653192,99.79375973,131440752669.77649
2015-01-22,0.00015513934955941334,71165.0,1375.0,30616555.0,22266.5854545455,14782.2563298846,1.52600456665318,1.0,53570.39031236,35105.0,499754.0,237498.269256632,1.000001,118690710054.07874
2015-01-23,0.00015551150765722783,52454.0,1373.0,25998496.0,18935.5396941005,14984.8412001352,1.73376696143425,1.0,40592.68586806,23413.0,418525.0,182212.798765677,1.000001,76260611603.40494
2015-01-24,0.00016688502301578028,56313.0,1389.0,27778106.0,19998.6364290857,14821.4306063139,1.70703369021081,1.0,44698.67717817,26185.0,469728.0,135004.166785085,1.000001,63415237255.62429
2015-01-25,0.00016737751359545725,103761.0,1380.0,40156663.0,29099.0311594203,14587.291471108,1.56439425810083,1.0,68328.04801107,43677.0,652808.0,130194.421329916,1.000001,84991959799.53969
2015-01-26,0.0001647369314791048,79644.0,1384.0,35507293.0,25655.5585260116,15692.9186236884,1.79119736487989,1.0,53237.96807896,29722.0,508214.0,251111.580907133,1.000001,127618420979.13788
2015-01-27,0.0001578711539973672,59533.0,1363.0,18812897.0,13802.5656639765,16408.0833234284,1.29751724386049,1.0,34524.33882464,26608.0,129988.0,666186.395753503,8.0,86596237211.20631
2015-01-28,0.0001422644166147312,66535.0,1357.0,41554601.0,30622.4030950626,16655.1265486444,1.9307366936091,1.0,59348.91522485,30739.0,688513.0,172106.989058425,1.000001,118497899357.58363
2015-01-29,0.00014256937086270317,60734.0,1359.0,39303098.0,28920.6019131714,16027.2273730092,1.96133232129826,1.0,56033.30308717,28569.0,681288.0,205528.754147562,1.000001,140024273855.68414
2015-01-30,0.00014048876233059036,53517.0,1363.0,38522728.0,28263.1900220103,15275.7567052206,1.92499955419602,1.0,55033.81225491,28589.0,726371.0,154784.599439386,1.000001,112431044279.38654
2015-01-31,0.00013566918559686895,76204.0,1369.0,50818425.0,37120.8363769175,14716.3158479458,2.09716583824193,1.0,69556.69935697,33167.0,1023011.0,140244.983704605,1.000001,143472161024.6315
2015-02-01,0.00014343779024397706,60214.0,1363.0,15574248.0,11426.4475421864,15856.2740905902,1.29585121060896,1.0,29791.6193319,22990.0,83960.0,1240396.32862902,139.0,104143675751.69215
2015-02-02,0.00014979120514412698,48660.0,1383.0,15346265.0,11096.3593637021,16053.5335786581,1.29862666108002,1.0,27475.04426847,21157.0,78402.0,618717.335454942,77.0,48508676534.338356
2015-02-03,0.00014310577194556992,51165.0,1369.0,16261814.0,11878.607742878,16770.6419324581,1.37707005607261,1.0,29624.90811629,21513.0,76365.0,717544.360257588,98.0,54795275071.07068
2015-02-04,0.00014427078814204696,52990.0,1346.0,19810801.0,14718.2771173848,16157.0436513213,1.46598584924142,1.0,34630.98371663,23623.0,99499.0,580242.738346535,24.0,57733572222.74193
2015-02-05,0.00013930559659308144,59352.0,1356.0,22208215.0,16377.7396755162,15414.1362354505,1.51465648360629,1.0,37678.59468619,24876.0,85154.0,594485.562080911,64.88052733,50622823553.437935
2015-02-06,0.0001425476772584036,39642.0,1378.0,13260911.0,9623.30261248186,15816.826454778,1.27834823615543,1.0,25380.32588063,19854.0,62345.0,152272.023183548,54.0,9493399285.378271
2015-02-07,0.00014455056695216828,39358.0,1367.0,13311067.0,9737.43013899049,16009.4881390767,1.26865225228095,1.0,25612.8203213,20189.0,59822.0,158812.021163593,56.0,9500452730.048452
2015-02-08,0.0001418702465727037,78998.0,1373.0,20079056.0,14624.2214129643,14922.5879900181,1.58602549443821,1.0,34202.63978756,21565.0,113405.0,106157.995051055,146.475,12038847428.764881
2015-02-09,0.00013975445640889512,46809.0,1370.0,19958807.0,14568.4722627737,14716.2243108273,1.56793723491996,1.0,34086.95548716,21740.0,71234.0,97905.8980797581,44.0,6974228743.81349
2015-02-10,0.00014063584725216183,38162.0,1362.0,14842289.0,10897.4221732746,15736.4950006064,1.24707877535903,1.0,28273.76999494,22672.0,65061.0,44473.6690301477,43.68700684,2893501380.7704396
2015-02-11,0.00013984221054264825,37232.0,1376.0,13553687.0,9850.06322674419,15911.9337498835,1.25172438890921,1.0,24913.07051246,19903.0,61783.0,163470.376483003,41.99,10099690270.249367
2015-02-12,0.00014020811530137423,37275.0,1366.0,14271402.0,10447.5856515373,16775.106344915,1.25451888171168,1.0,26802.79590777,21365.0,63472.0,145537.99401563,49.9,9237587556.160088
2015-02-13,0.0001439893835077957,42636.0,1369.0,18306338.0,13372.0511322133,14839.584744916,1.21991506526,1.0,29489.00687253,24173.0,64518.0,212827.131469754,50.0,13731180868.165567
2015-02-14,0.00015393683952108714,46243.0,1380.0,18745472.0,13583.6753623188,17021.6985142544,1.25346070011623,1.0,31167.30030839,24865.0,67632.0,213711.787828489,47.26188797,14453755634.416393
2015-02-15,0.00014169726206204596,76007.0,1375.0,21643644.0,15740.832,15448.7325290459,1.40446370922978,1.0,36195.83871427,25772.0,123208.0,207207.64935669,139.265,25529640061.939007
2015-02-16,0.00014184185951139183,41905.0,1358.0,16443530.0,12108.6377025037,16048.4922174338,1.28705038350479,1.0,30075.79336174,23368.0,69330.0,338359.048779946,48.407892675,23458432851.91369
2015-02-17,0.0001477344666039455,40979.0,1367.0,16390120.0,11989.846378932,15338.2064705032,1.2747253987853,1.0,30013.4095144,23545.0,68356.0,294477.206819166,40.0,20129283949.33088
2015-02-18,0.000143265160866477,40558.0,1380.0,15502372.0,11233.6028985507,15250.6541850833,1.2496704982424,1.0,29705.91741372,23771.0,70243.0,353988.572296419,47.48,24865219283.817326
2015-02-19,0.00014428661007695725,40311.0,1380.0,15881924.0,11508.6405797101,15242.9963607228,1.33033657210192,1.0,31822.98114125,23921.0,69993.0,320037.800801573,31.0,22400405791.50453
2015-02-20,0.00014483241942895122,41164.0,1368.0,16842216.0,12311.5614035088,15574.5053861137,1.28561355102476,1.0,31627.37896876,24601.0,77793.0,454372.957614936,28.2,35347035491.73869
2015-02-21,0.00014529297316012295,59945.0,1362.0,17473373.0,12829.2019089574,15475.5571355329,1.26391211661749,1.0,31955.49004444,25283.0,92031.0,444079.492552692,125.0,40869079779.11677
2015-02-22,0.00014159845622354621,61717.0,1386.0,20024584.0,14447.7518037518,14976.9089756606,1.33116162375301,1.0,37090.15632263,27863.0,91997.0,580077.821302263,100.0,53365419326.34431
2015-02-23,0.00014236356211392038,66722.0,1356.0,20875553.0,15394.9505899705,15285.6843484486,1.19942427446835,1.0,49328.72213606,41127.0,111960.0,526616.975886566,33.0,58960036620.259964
2015-02-24,0.00014220724208178107,80131.0,1379.0,23883670.0,17319.5576504714,15524.8727908909,1.16659269060275,1.0,63560.6361548,54484.0,138924.0,368163.578967357,27.479609375,51146757044.46106
2015-02-25,0.00014277349504680215,73865.0,1365.0,26380687.0,19326.5106227106,15646.2096487637,1.24035120821099,1.0,61372.57778228,49480.0,126760.0,346550.399843195,31.1,43928728684.12343
2015-02-26,0.00014182615969958684,71828.0,1374.0,22795311.0,16590.4737991266,15824.5673845908,1.149846719716,1.0,58302.9779232,50705.0,127308.0,296389.369220231,52.0,37732737816.68916
2015-02-27,0.00014623274125154484,77883.0,1366.0,23258409.0,17026.6537335286,14854.6592887067,1.167236986744,1.0,58315.15985773,49960.0,129745.0,297574.737236346,35.07,38608834282.72969
2015-02-28,0.00014630493126323549,89037.0,1381.0,25498836.0,18464.037653874,15456.7815674561,1.25111374880748,1.0,57356.05870033,45844.0,137503.0,285631.247802552,110.49,39275153466.594376
2015-03-01,0.00014807301995761738,85797.0,1371.0,24228289.0,17671.9832239241,14732.7988963205,1.22636702928959,1.0,54947.37474732,44805.0,136959.0,330678.389483607,72.05000006,45289381545.28536
2015-03-02,0.0001512421706630362,79071.0,1381.0,24605608.0,17817.2396813903,14075.5091193778,1.16360662159663,1.0,60970.65975842,52398.0,129897.0,385745.831016392,31.0,50107226211.53627
2015-03-03,0.00014365825103508314,75561.0,1365.0,25932645.0,18998.2747252747,15280.9752018106,1.22440494992601,1.0,58909.79535579,48113.0,124726.0,350742.43378406,29.0,43746700796.15062
2015-03-04,0.00014250584918662775,64277.0,1377.0,22003933.0,15979.6172839506,14420.4497324251,1.16242514478455,1.0,54628.16967915,46995.0,116188.0,338315.763829601,40.0,39308231967.83373
2015-03-05,0.00014065077586592763,75809.0,1366.0,24539547.0,17964.5292825769,15240.4541529363,1.16272773723513,1.0,64409.30300414,55395.0,137898.0,308340.316921181,30.0,42519513022.797035
2015-03-06,0.00014106499016155002,78491.0,1359.0,24605340.0,18105.4746136865,15594.6746607712,1.16500575715353,1.0,64089.29671253,55012.0,136314.0,273725.343159766,25.0,37312596427.4803
2015-03-07,0.00014053102720100878,84584.0,1381.0,22589254.0,16357.1716147719,16354.8157040496,1.21659274085587,1.0,53219.84944874,43745.0,139326.0,261967.825337668,116.38,36498929232.99587
2015-03-08,0.0001397753931390464,93446.0,1364.0,25437565.0,18649.241202346,15351.1007548627,1.19361984806975,1.0,61262.53870218,51325.0,143859.0,231779.518553808,100.0,33343569759.63223
2015-03-09,0.0001444362900374771,82561.0,1375.0,27652115.0,20110.6290909091,16367.0920582964,1.20002273125458,1.0,66142.85290129,55118.0,124106.0,132599.845660868,98.99,16456436445.58765
2015-03-10,0.00014074577225522603,64006.0,1368.0,25967482.0,18982.0774853801,16948.6298069922,1.28578265098175,1.0,48196.2768894,37484.0,88939.0,514929.44296442,99.38,45797309727.81252
2015-03-11,0.00014432517820141524,64787.0,1375.0,28849015.0,20981.1018181818,15748.4616536346,1.45274486467804,1.0,55500.66481016,38204.0,100566.0,400236.482314873,31.0,40250182080.47752
