,ltc_PriceUSD,ltc_AdrActCnt,ltc_BlkCnt,ltc_BlkSizeByte,ltc_BlkSizeMeanByte,ltc_DiffMean,ltc_FeeMeanNtv,ltc_FeeMedNtv,ltc_FeeTotNtv,ltc_TxCnt,ltc_TxTfr,ltc_TxTfrValMeanNtv,ltc_TxTfrValMedNtv,ltc_TxTfrValNtv
2018-12-13,22.9307497725285,86468.0,614.0,15739607.0,25634.5390879479,5535753.99165234,0.000685892171205877,0.000224,15.31185683,22324.0,67219.0,23.1656051812975,0.21649708,1557168.81468164
2018-12-14,23.1876425707223,77208.0,572.0,14850189.0,25961.8688811189,5535753.99165233,0.000673773289193562,0.000223,15.82423947,23486.0,68740.0,20.2971290728184,0.24785215,1395224.65246554
2018-12-15,23.4995087015973,82205.0,555.0,35813347.0,64528.5531531532,5535753.99165232,0.000659582000880669,0.000190765,14.97910724,22710.0,66664.0,26.9042083409453,0.22256844,1793542.14484078
2018-12-16,25.3396068836703,71853.0,540.0,13457010.0,24920.3888888889,5591573.70058974,0.000668080412572759,0.000224,14.34702686,21475.0,60760.0,29.6135861081805,0.32041012,1799321.49193305
2018-12-17,28.9762467400869,84974.0,540.0,17181548.0,31817.6814814815,5611299.46239471,0.00078677858367017,0.000224,19.46490216,24740.0,74848.0,42.2217435404309,0.20578072,3160213.06051417
2018-12-18,29.9267155242262,76647.0,519.0,15139083.0,29169.7167630058,5611299.46239471,0.00064771524505414,0.000224,15.91177271,24566.0,64335.0,28.0685755369011,0.30709887,1805791.80716653
2018-12-19,29.4870936604607,83436.0,568.0,17536965.0,30874.9383802817,5604930.43219788,0.000701119213799842,0.000224,18.65608116,26609.0,73602.0,33.5900488144309,0.300015905,2472294.77283974
2018-12-20,32.2703737105733,81002.0,656.0,16242703.0,24760.2179878049,5249538.54721499,0.000658381201132699,0.000226,16.74000042,25426.0,69837.0,35.7612694028428,0.29814599,2497459.77128633
2018-12-21,30.2626171876679,81408.0,661.0,16406683.0,24821.0030257186,5249538.54721499,0.000638505211328125,0.000224,16.34573341,25600.0,73593.0,25.925301916757,0.27570231,1907920.7439599
2018-12-22,31.4689836445426,78114.0,662.0,16215324.0,24494.4471299094,5249538.54721499,0.000730662465866958,0.00022334,16.75043703,22925.0,81987.0,20.8392915684937,0.16,1708550.99782609
2018-12-23,33.2891390162689,77118.0,594.0,14789962.0,24898.9259259259,5956936.6546275,0.000633871051234057,0.000224,14.56191966,22973.0,67700.0,34.0277329528055,0.20971581,2303677.52090493
2018-12-24,33.6801663690144,81678.0,562.0,16264127.0,28939.7277580071,5990622.27879,0.000717073951034011,0.000226,16.78239875,23404.0,69400.0,34.7418103326251,0.25372526,2411081.63708418
2018-12-25,30.8249039243242,70668.0,548.0,13323803.0,24313.5091240876,5990622.27879,0.000675183465478386,0.000224,13.18228198,19524.0,62547.0,26.3038775082648,0.189926285,1645228.62650944
2018-12-26,30.6155747673769,78495.0,564.0,15199902.0,26950.1808510638,5973133.39570334,0.00070208593580892,0.000224,15.04991412,21436.0,63724.0,24.8916815986937,0.22167267,1586197.51819516
2018-12-27,27.8858456322087,77210.0,581.0,15251722.0,26250.8123924269,5946783.47851948,0.000652588819089048,0.000224,15.30190263,23448.0,69097.0,26.4655213145328,0.22935941,1828688.12627027
2018-12-28,32.001709678202,80482.0,546.0,15448215.0,28293.4340659341,5946783.47851948,0.000616140024533462,0.00021854,15.31970557,24864.0,71475.0,29.080755422916,0.27675955,2078546.99385292
2018-12-29,31.8679648980544,84887.0,594.0,15840769.0,26667.9612794613,5946783.47851948,0.000643850440672499,0.000192,15.96942248,24803.0,70070.0,29.0701423117719,0.25618946,2036944.87178586
2018-12-30,31.6984501975349,76035.0,604.0,14610171.0,24189.0248344371,5844480.28444949,0.000601018905742145,0.000224,13.86851125,23075.0,68495.0,25.6233786323583,0.20359831,1755073.31942338
2018-12-31,29.8525632809632,72494.0,580.0,14130212.0,24362.4344827586,5831069.75339159,0.000695294332632814,0.000224,14.22641734,20461.0,61859.0,20.6719690515189,0.21088659,1278747.33355791
2019-01-01,31.9898133695456,65660.0,571.0,12020102.0,21050.9667250438,5831069.75339159,0.000645163074312861,0.0002016,11.40777348,17682.0,58049.0,33.3272121359569,0.17093891,1934611.33728016
